Catalog_Number,Calendar_Date,Year,Eclipse_Time,Delta_T,Lunation_Number,Saros_Number,Eclipse Type,Gamma,Eclipse_Magnitude,Latitude,Longitude,Sun_Altitude,Sun_Azimuth,Path_Width,Central_Duration
9514,2002 December 4,2002,07:32:16,64,36,142,T,-0.302,1.0244,39.5S,59.6E,72,16,87,2.04
9515,2003 May 31,2003,04:09:22,64,42,147,An,0.996,0.9384,66.6N,24.5W,3,35,-,3.37
9516,2003 November 23,2003,22:50:22,64,48,152,T,-0.9638,1.0379,72.7S,88.4E,15,111,495,1.57
9517,2004 April 19,2004,13:35:05,65,53,119,P,-1.1335,0.7367,61.6S,44.3E,0,295,,
9518,2004 October 14,2004,03:00:23,65,59,124,P,1.0348,0.9282,61.2N,153.7W,0,253,,
9519,2005 April 8,2005,20:36:51,65,65,129,H,-0.3473,1.0074,10.6S,119.0W,70,332,27,0.42
9520,2005 October 3,2005,10:32:47,65,71,134,A,0.3306,0.9576,12.9N,28.7E,71,209,162,4.32
9521,2006 March 29,2006,10:12:23,65,77,139,T,0.3843,1.0515,23.2N,16.7E,67,149,184,4.07
9522,2006 September 22,2006,11:41:16,65,83,144,A,-0.4062,0.9352,20.6S,9.1W,66,31,261,7.09
9523,2007 March 19,2007,02:32:57,65,89,149,P,1.0728,0.8756,61.0N,55.5E,0,92,,
9524,2007 September 11,2007,12:32:24,66,95,154,P,-1.1255,0.7507,61.0S,90.2W,0,80,,
9525,2008 February 7,2008,03:56:10,66,100,121,A,-0.957,0.965,67.6S,150.5W,16,269,444,2.12
9526,2008 August 1,2008,10:22:12,66,106,126,T,0.8307,1.0394,65.7N,72.3E,34,235,237,2.27
9527,2009 January 26,2009,07:59:45,66,112,131,A,-0.282,0.9282,34.1S,70.2E,73,337,280,7.54
9528,2009 July 22,2009,02:36:25,66,118,136,T,0.0698,1.0799,24.2N,144.1E,86,198,258,6.39
9529,2010 January 15,2010,07:07:39,67,124,141,A,0.4002,0.919,1.6N,69.3E,66,165,333,11.08
9530,2010 July 11,2010,19:34:38,67,130,146,T,-0.6788,1.058,19.7S,121.9W,47,14,259,5.2
9531,2011 January 4,2011,08:51:42,67,136,151,P,1.0627,0.8576,64.7N,20.8E,0,155,,
9532,2011 June 1,2011,21:17:18,67,141,118,P,1.213,0.601,67.8N,46.8E,0,6,,
9533,2011 July 1,2011,08:39:30,67,142,156,Pb,-1.4917,0.0971,65.2S,28.6E,0,21,,
9534,2011 November 25,2011,06:21:24,68,147,123,P,-1.0536,0.9047,68.6S,82.4W,0,165,,
9535,2012 May 20,2012,23:53:54,68,153,128,A,0.4828,0.9439,49.1N,176.3E,61,171,237,5.46
9536,2012 November 13,2012,22:12:55,68,159,133,T,-0.3719,1.05,40.0S,161.3W,68,11,179,4.02
9537,2013 May 10,2013,00:26:20,68,165,138,A,-0.2694,0.9544,2.2N,175.5E,74,350,173,6.03
9538,2013 November 3,2013,12:47:36,68,171,143,H3,0.3272,1.0159,3.5N,11.7W,71,192,58,1.4
9539,2014 April 29,2014,06:04:33,69,177,148,A-,-1,0.9868,70.6S,131.3E,0,319,-,-
9540,2014 October 23,2014,21:45:39,69,183,153,P,1.0908,0.8114,71.2N,97.2W,0,231,,
9541,2015 March 20,2015,09:46:47,69,188,120,T,0.9454,1.0445,64.4N,6.6W,18,135,463,2.47
9542,2015 September 13,2015,06:55:19,69,194,125,P,-1.1004,0.7875,72.1S,2.3W,0,77,,
9543,2016 March 9,2016,01:58:19,70,200,130,T,0.2609,1.045,10.1N,148.8E,75,162,155,4.09
9544,2016 September 1,2016,09:08:02,70,206,135,A,-0.333,0.9736,10.7S,37.8E,70,16,100,3.06
9545,2017 February 26,2017,14:54:33,70,212,140,A,-0.4578,0.9922,34.7S,31.2W,63,340,31,0.44
9546,2017 August 21,2017,18:26:40,70,218,145,T,0.4367,1.0306,37.0N,87.7W,64,198,115,2.4
9547,2018 February 15,2018,20:52:33,71,224,150,P,-1.2116,0.5991,71.0S,0.6E,0,228,,
9548,2018 July 13,2018,03:02:16,71,229,117,P,-1.3542,0.3365,67.9S,127.4E,0,8,,
9549,2018 August 11,2018,09:47:28,71,230,155,P,1.1476,0.7368,70.4N,174.5E,0,321,,
9550,2019 January 6,2019,01:42:38,71,235,122,P,1.1417,0.7145,67.4N,153.6E,0,178,,
9551,2019 July 2,2019,19:24:08,71,241,127,T,-0.6466,1.0459,17.4S,109.0W,50,359,201,4.33
9552,2019 December 26,2019,05:18:53,72,247,132,A,0.4135,0.9701,1.0N,102.3E,66,184,118,3.4
9553,2020 June 21,2020,06:41:15,72,253,137,Am,0.1209,0.994,30.5N,79.7E,83,174,21,0.38
9554,2020 December 14,2020,16:14:39,72,259,142,T,-0.2939,1.0254,40.3S,67.9W,73,10,90,2.1
9555,2021 June 10,2021,10:43:07,72,265,147,A,0.9152,0.9435,80.8N,66.8W,23,90,527,3.51
9556,2021 December 4,2021,07:34:38,73,271,152,T,-0.9526,1.0367,76.8S,46.2W,17,115,419,1.54
9557,2022 April 30,2022,20:42:36,73,276,119,P,-1.1901,0.6396,62.1S,71.5W,0,304,,
9558,2022 October 25,2022,11:01:20,73,282,124,P,1.0701,0.8619,61.6N,77.4E,0,244,,
9559,2023 April 20,2023,04:17:56,73,288,129,H,-0.3952,1.0132,9.6S,125.8E,67,334,49,1.16
9560,2023 October 14,2023,18:00:41,74,294,134,A,0.3753,0.952,11.4N,83.1W,68,208,187,5.17
9561,2024 April 8,2024,18:18:29,74,300,139,T,0.3431,1.0566,25.3N,104.1W,70,149,198,4.28
9562,2024 October 2,2024,18:46:13,74,306,144,A,-0.3509,0.9326,22.0S,114.5W,69,31,266,7.25
9563,2025 March 29,2025,10:48:36,75,312,149,P,1.0405,0.9376,61.1N,77.1W,0,83,,
9564,2025 September 21,2025,19:43:04,75,318,154,P,-1.0651,0.855,60.9S,153.5E,0,89,,
9565,2026 February 17,2026,12:13:06,75,323,121,A,-0.9743,0.963,64.7S,86.8E,12,268,616,2.2
9566,2026 August 12,2026,17:47:06,75,329,126,T,0.8977,1.0386,65.2N,25.2W,26,248,294,2.18
9567,2027 February 6,2027,16:00:48,76,335,131,A,-0.2952,0.9281,31.3S,48.5W,73,334,282,7.51
9568,2027 August 2,2027,10:07:50,76,341,136,T,0.1421,1.079,25.5N,33.2E,82,202,258,6.23
9569,2028 January 26,2028,15:08:59,76,347,141,A,0.3901,0.9208,3.0N,51.5W,67,161,323,10.27
9570,2028 July 22,2028,02:56:40,77,353,146,T,-0.6056,1.056,15.6S,126.7E,53,17,230,5.1
9571,2029 January 14,2029,17:13:48,77,359,151,P,1.0553,0.8714,63.7N,114.2W,0,145,,
9572,2029 June 12,2029,04:06:13,77,364,118,P,1.2943,0.4576,66.8N,66.2W,0,355,,
9573,2029 July 11,2029,15:37:19,77,365,156,P,-1.4191,0.2303,64.3S,85.6W,0,30,,
9574,2029 December 5,2029,15:03:58,77,370,123,P,-1.0609,0.8911,67.5S,135.7E,0,177,,
9575,2030 June 1,2030,06:29:13,78,376,128,A,0.5626,0.9443,56.5N,80.1E,55,176,250,5.21
9576,2030 November 25,2030,06:51:37,78,382,133,T,-0.3867,1.0468,43.6S,71.2E,67,7,169,3.44
9577,2031 May 21,2031,07:16:04,78,388,138,A,-0.197,0.9589,8.9N,71.7E,79,354,152,5.26
9578,2031 November 14,2031,21:07:31,79,394,143,H,0.3078,1.0106,0.6S,137.6W,72,189,38,1.08
9579,2032 May 9,2032,13:26:42,79,400,148,A,-0.9375,0.9957,51.3S,7.1W,20,345,44,0.22
9580,2032 November 3,2032,05:34:13,79,406,153,P,1.0643,0.8554,70.4N,132.6E,0,218,,
9581,2033 March 30,2033,18:02:36,80,411,120,T,0.9778,1.0462,71.3N,155.8W,11,111,781,2.37
9582,2033 September 23,2033,13:54:31,80,417,125,P,-1.1583,0.689,72.2S,121.2W,0,91,,
9583,2034 March 20,2034,10:18:45,80,423,130,T,0.2894,1.0458,16.1N,22.2E,73,162,159,4.09
9584,2034 September 12,2034,16:19:28,81,429,135,A,-0.3936,0.9736,18.2S,72.6W,67,18,102,2.58
9585,2035 March 9,2035,23:05:54,81,435,140,A,-0.4368,0.9919,29.0S,154.9W,64,340,31,0.48
9586,2035 September 2,2035,01:56:46,81,441,145,T,0.3727,1.032,29.1N,158.0E,68,199,116,2.54
9587,2036 February 27,2036,04:46:49,82,447,150,P,-1.1942,0.6286,71.6S,131.4W,0,242,,
9588,2036 July 23,2036,10:32:06,82,452,117,P,-1.425,0.1991,68.9S,3.6E,0,19,,
9589,2036 August 21,2036,17:25:45,82,453,155,P,1.0825,0.8622,71.1N,47.0E,0,309,,
9590,2037 January 16,2037,09:48:55,82,458,122,P,1.1477,0.7049,68.5N,20.8E,0,166,,
9591,2037 July 13,2037,02:40:36,83,464,127,T,-0.7246,1.0413,24.8S,139.1E,43,3,201,3.58
9592,2038 January 5,2038,13:47:11,83,470,132,A,0.4169,0.9728,2.1N,25.4W,65,179,107,3.18
9593,2038 July 2,2038,13:32:55,84,476,137,A,0.0398,0.9911,25.4N,21.9W,88,179,31,1
9594,2038 December 26,2038,01:00:10,84,482,142,T,-0.2881,1.0268,40.3S,164.0E,73,5,95,2.18
9595,2039 June 21,2039,17:12:54,84,488,147,A,0.8312,0.9454,78.9N,102.1W,33,153,365,4.05
9596,2039 December 15,2039,16:23:46,85,494,152,T,-0.9458,1.0356,80.9S,172.8E,18,123,380,1.51
9597,2040 May 11,2040,03:43:02,85,499,119,P,-1.2529,0.5306,62.8S,174.4E,0,313,,
9598,2040 November 4,2040,19:09:02,85,505,124,P,1.0993,0.8074,62.2N,53.4W,0,234,,
9599,2041 April 30,2041,11:52:21,86,511,129,T,-0.4492,1.0189,9.6S,12.2E,63,337,72,1.51
9600,2041 October 25,2041,01:36:22,86,517,134,A,0.4133,0.9467,9.9N,162.9E,66,206,213,6.07
9601,2042 April 20,2042,02:17:30,86,523,139,T,0.2956,1.0614,27.0N,137.3E,73,151,210,4.51
9602,2042 October 14,2042,02:00:42,87,529,144,A,-0.303,0.93,23.7S,137.8E,72,30,273,7.44
9603,2043 April 9,2043,18:57:49,87,535,149,T+,1.0031,1.0095,61.3N,152.0E,0,74,-,-
9604,2043 October 3,2043,03:01:49,88,541,154,A-,-1.0102,0.9497,61.0S,35.3E,0,98,-,-
9605,2044 February 28,2044,20:24:40,88,546,121,As,-0.9954,0.96,62.2S,25.6W,4,260,-,2.27
9606,2044 August 23,2044,01:17:02,88,552,126,T,0.9613,1.0364,64.3N,120.4W,15,264,453,2.04
9607,2045 February 16,2045,23:56:07,89,558,131,A,-0.3125,0.9285,28.3S,166.2W,72,331,281,7.47
9608,2045 August 12,2045,17:42:39,89,564,136,T,0.2116,1.0774,25.9N,78.5W,78,206,256,6.06
9609,2046 February 5,2046,23:06:26,90,570,141,A,0.3765,0.9232,4.8N,171.4W,68,157,310,9.42
9610,2046 August 2,2046,10:21:13,90,576,146,T,-0.535,1.0531,12.7S,15.2E,58,21,206,4.51
9611,2047 January 26,2047,01:33:18,90,582,151,P,1.045,0.8907,62.9N,111.7E,0,135,,
9612,2047 June 23,2047,10:52:31,91,587,118,P,1.3766,0.3129,65.8N,178.0W,0,346,,
9613,2047 July 22,2047,22:36:17,91,588,156,P,-1.3477,0.3604,63.4S,160.2E,0,40,,
9614,2047 December 16,2047,23:50:12,91,593,123,P,-1.0661,0.8816,66.4S,6.6W,0,188,,
9615,2048 June 11,2048,12:58:53,92,599,128,A,0.6468,0.9441,63.7N,11.5W,49,184,272,4.58
9616,2048 December 5,2048,15:35:27,92,605,133,T,-0.3973,1.044,46.1S,56.4W,66,1,160,3.28
9617,2049 May 31,2049,13:59:59,92,611,138,A,-0.1187,0.9631,15.3N,29.9W,83,358,134,4.45
9618,2049 November 25,2049,05:33:48,93,617,143,H,0.2943,1.0057,3.8S,95.2E,73,185,21,0.38
9619,2050 May 20,2050,20:42:50,94,623,148,H,-0.8688,1.0038,40.1S,123.7W,29,352,27,0.21
9620,2050 November 14,2050,13:30:53,95,629,153,P,1.0447,0.8874,69.5N,1.0E,0,206,,
9621,2051 April 11,2051,02:10:39,95,634,120,P,1.0169,0.9849,71.6N,32.2E,0,63,,
9622,2051 October 4,2051,21:02:14,96,640,125,P,-1.2094,0.6024,72.0S,117.7E,0,105,,
9623,2052 March 30,2052,18:31:53,97,646,130,T,0.3238,1.0466,22.4N,102.5W,71,161,164,4.08
9624,2052 September 22,2052,23:39:10,98,652,135,A,-0.448,0.9734,25.7S,175.0E,63,20,106,2.51
9625,2053 March 20,2053,07:08:19,99,658,140,A,-0.4089,0.9919,23.0S,83.0E,66,341,31,0.5
9626,2053 September 12,2053,09:34:09,100,664,145,T,0.314,1.0328,21.5N,41.7E,72,199,116,3.04
9627,2054 March 9,2054,12:33:40,101,670,150,P,-1.1711,0.6678,72.0S,97.9E,0,256,,
9628,2054 August 3,2054,18:04:02,102,675,117,Pe,-1.4941,0.0655,69.8S,121.3W,0,31,,
9629,2054 September 2,2054,01:09:34,102,676,155,P,1.0215,0.9793,71.7N,82.3W,0,296,,
9630,2055 January 27,2055,17:54:05,103,681,122,P,1.155,0.6932,69.5N,112.2W,0,154,,
9631,2055 July 24,2055,09:57:50,104,687,127,T,-0.8012,1.0359,33.3S,25.8E,37,8,202,3.17
9632,2056 January 16,2056,22:16:45,105,693,132,A,0.4199,0.9759,3.9N,153.5W,65,175,95,2.52
9633,2056 July 12,2056,20:21:59,106,699,137,A,-0.0426,0.9878,19.4N,123.7W,88,3,43,1.26
9634,2057 January 5,2057,09:47:52,107,705,142,T,-0.2837,1.0287,39.2S,35.2E,73,359,102,2.29
9635,2057 July 1,2057,23:40:15,108,711,147,A,0.7455,0.9464,71.5N,176.2W,41,177,298,4.23
9636,2057 December 26,2057,01:14:35,109,717,152,T,-0.9405,1.0348,84.9S,21.8E,19,141,355,1.5
9637,2058 May 22,2058,10:39:25,110,722,119,P,-1.3194,0.4141,63.5S,61.1E,0,322,,
9638,2058 June 21,2058,00:19:35,110,723,157,Pb,1.4869,0.126,65.9N,9.9E,0,13,,
9639,2058 November 16,2058,03:23:07,111,728,124,P,1.1224,0.7644,62.9N,174.2E,0,225,,
9640,2059 May 11,2059,19:22:16,112,734,129,T,-0.508,1.0242,10.7S,100.4W,59,340,95,2.23
9641,2059 November 5,2059,09:18:15,113,740,134,A,0.4454,0.9417,8.7N,47.1E,63,203,238,7
9642,2060 April 30,2060,10:10:00,114,746,139,T,0.2422,1.066,28.0N,20.9E,76,154,222,5.15
9643,2060 October 24,2060,09:24:10,115,752,144,A,-0.2625,0.9277,25.8S,28.1E,75,28,281,8.06
9644,2061 April 20,2061,02:56:49,116,758,149,T,0.9578,1.0475,64.5N,59.2E,16,97,559,2.37
9645,2061 October 13,2061,10:32:10,117,764,154,A,-0.9639,0.9469,62.1S,54.4W,15,79,743,3.41
9646,2062 March 11,2062,04:26:16,118,769,121,P,-1.0238,0.9331,61.0S,147.1W,0,263,,
9647,2062 September 3,2062,08:54:27,119,775,126,P,1.0191,0.9749,61.3N,150.3E,0,286,,
9648,2063 February 28,2063,07:43:30,120,781,131,A,-0.336,0.9293,25.2S,77.7E,70,329,280,7.41
9649,2063 August 24,2063,01:22:11,121,787,136,T,0.2771,1.075,25.6N,168.4E,74,209,252,5.49
9650,2064 February 17,2064,07:00:23,122,793,141,A,0.3597,0.9262,7.0N,69.7E,69,154,295,8.56
9651,2064 August 12,2064,17:46:06,123,799,146,T,-0.4652,1.0495,10.9S,96.0W,62,24,184,4.28
9652,2065 February 5,2065,09:52:26,124,805,151,P,1.0336,0.9123,62.2N,21.9W,0,125,,
9653,2065 July 3,2065,17:33:52,125,810,118,P,1.4619,0.1638,64.8N,71.9E,0,336,,
9654,2065 August 2,2065,05:34:17,125,811,156,P,-1.2759,0.4903,62.7S,46.5E,0,49,,
9655,2065 December 27,2065,08:39:56,126,816,123,P,-1.0688,0.8769,65.4S,149.2W,0,198,,
9656,2066 June 22,2066,19:25:48,127,822,128,A,0.733,0.9435,70.1N,96.4W,43,198,309,4.4
9657,2066 December 17,2066,00:23:40,128,828,133,T,-0.4043,1.0416,47.4S,175.8E,66,355,152,3.14
9658,2067 June 11,2067,20:42:26,129,834,138,A,-0.0387,0.967,21.0N,130.2W,88,2,119,4.05
9659,2067 December 6,2067,14:03:43,130,840,143,H,0.2845,1.0011,6.0S,32.4W,74,181,4,0.08
9660,2068 May 31,2068,03:56:39,131,846,148,T,-0.797,1.011,31.0S,123.2E,37,357,63,1.06
9661,2068 November 24,2068,21:32:30,132,852,153,P,1.0299,0.9109,68.5N,131.1W,0,194,,
9662,2069 April 21,2069,10:11:09,133,857,120,P,1.0624,0.8992,71.0N,101.3W,0,50,,
9663,2069 May 20,2069,17:53:18,133,858,158,Pb,-1.4852,0.0879,68.8S,69.9W,0,342,,
9664,2069 October 15,2069,04:19:56,134,863,125,P,-1.2524,0.5298,71.6S,5.5W,0,119,,
9665,2070 April 11,2070,02:36:09,135,869,130,T,0.3652,1.0472,29.1N,135.1E,68,162,168,4.04
9666,2070 October 4,2070,07:08:57,136,875,135,A,-0.495,0.9731,32.8S,60.4E,60,21,110,2.44
9667,2071 March 31,2071,15:01:06,138,881,140,A,-0.3739,0.9919,16.7S,37.0W,68,342,31,0.52
9668,2071 September 23,2071,17:20:28,139,887,145,T,0.262,1.0333,14.2N,76.7W,75,198,116,3.11
9669,2072 March 19,2072,20:10:31,140,893,150,P,-1.1405,0.7199,72.2S,30.4W,0,270,,
9670,2072 September 12,2072,08:59:20,141,899,155,T,0.9655,1.0558,69.8N,102.0E,14,240,732,3.13
9671,2073 February 7,2073,01:55:59,142,904,122,P,1.1651,0.6768,70.5N,114.9E,0,141,,
9672,2073 August 3,2073,17:15:23,143,910,127,T,-0.8763,1.0294,43.2S,89.4W,28,14,206,2.29
9673,2074 January 27,2074,06:44:15,144,916,132,A,0.4251,0.9798,6.6N,78.8E,65,171,79,2.21
9674,2074 July 24,2074,03:10:32,145,922,137,A,-0.1242,0.9838,12.8N,133.7E,83,7,58,1.57
9675,2075 January 16,2075,18:36:04,146,928,142,T,-0.2799,1.0311,37.2S,94.1W,74,354,110,2.42
9676,2075 July 13,2075,06:05:44,147,934,147,A,0.6583,0.9467,63.1N,95.2E,49,186,262,4.45
9677,2076 January 6,2076,10:07:27,148,940,152,T,-0.9373,1.0342,87.2S,173.7W,20,203,340,1.49
9678,2076 June 1,2076,17:31:22,149,945,119,P,-1.3897,0.2897,64.4S,51.2W,0,331,,
9679,2076 July 1,2076,06:50:43,149,946,157,P,1.4005,0.2746,67.0N,98.1W,0,3,,
9680,2076 November 26,2076,11:43:01,150,951,124,P,1.1401,0.7315,63.7N,40.1E,0,215,,
9681,2077 May 22,2077,02:46:05,151,957,129,T,-0.5725,1.029,13.1S,148.3E,55,343,119,2.54
9682,2077 November 15,2077,17:07:56,152,963,134,A,0.4705,0.9371,7.8N,70.8W,62,199,262,7.54
9683,2078 May 11,2078,17:56:55,153,969,139,T,0.1838,1.0701,28.1N,93.7W,79,158,232,5.4
9684,2078 November 4,2078,16:55:44,154,975,144,A,-0.2285,0.9255,27.8S,83.3W,77,25,287,8.29
9685,2079 May 1,2079,10:50:13,155,981,149,T,0.9081,1.0512,66.2N,46.3W,24,108,406,2.55
9686,2079 October 24,2079,18:11:21,156,987,154,A,-0.9243,0.9484,63.4S,160.6W,22,72,495,3.39
9687,2080 March 21,2080,12:20:15,157,992,121,P,-1.0578,0.8734,60.9S,85.9E,0,271,,
9688,2080 September 13,2080,16:38:09,158,998,126,P,1.0723,0.8743,61.1N,25.8E,0,277,,
9689,2081 March 10,2081,15:23:31,159,1004,131,A,-0.3653,0.9304,22.4S,36.7W,68,329,277,7.36
9690,2081 September 3,2081,09:07:31,160,1010,136,T,0.3378,1.072,24.6N,53.6E,70,211,247,5.33
9691,2082 February 27,2082,14:47:00,162,1016,141,A,0.3361,0.9298,9.4N,47.1W,70,152,277,8.12
9692,2082 August 24,2082,01:16:21,163,1022,146,T,-0.4004,1.0452,10.3S,151.8E,66,26,163,4.01
9693,2083 February 16,2083,18:06:36,164,1028,151,P,1.017,0.9433,61.6N,154.1W,0,116,,
9694,2083 July 15,2083,00:14:23,165,1033,118,Pe,1.5465,0.0168,64.0N,37.7W,0,327,,
9695,2083 August 13,2083,12:34:41,165,1034,156,P,-1.2064,0.6146,62.1S,67.5W,0,58,,
9696,2084 January 7,2084,17:30:23,166,1039,123,P,-1.0715,0.8723,64.4S,68.5E,0,209,,
9697,2084 July 3,2084,01:50:26,167,1045,128,A,0.8208,0.9421,75.0N,169.1W,35,222,377,4.25
9698,2084 December 27,2084,09:13:48,168,1051,133,T,-0.4094,1.0396,47.3S,47.7E,66,349,146,3.04
9699,2085 June 22,2085,03:21:16,169,1057,138,A,0.0452,0.9704,26.2N,131.3E,87,186,106,3.29
9700,2085 December 16,2085,22:37:48,170,1063,143,A,0.2786,0.9971,7.3S,160.8W,74,176,10,0.19
9701,2086 June 11,2086,11:07:14,171,1069,148,T,-0.7215,1.0174,23.2S,12.5E,44,2,86,1.48
9702,2086 December 6,2086,05:38:55,172,1075,153,P,1.0194,0.9271,67.4N,96.2E,0,182,,
9703,2087 May 2,2087,18:04:42,173,1080,120,P,1.1139,0.8011,70.3N,127.6E,0,37,,
9704,2087 June 1,2087,01:27:14,173,1081,158,P,-1.4186,0.2146,67.8S,165.4E,0,354,,
9705,2087 October 26,2087,11:46:57,174,1086,125,P,-1.2882,0.4696,71.0S,130.5W,0,132,,
9706,2088 April 21,2088,10:31:49,175,1092,130,T,0.4135,1.0474,36.0N,15.1E,65,163,173,3.58
9707,2088 October 14,2088,14:48:05,177,1098,135,A,-0.5349,0.9727,39.7S,56.0W,57,21,115,2.38
9708,2089 April 10,2089,22:44:42,178,1104,140,A,-0.3319,0.9919,10.2S,154.8W,71,344,30,0.53
9709,2089 October 4,2089,01:15:23,179,1110,145,T,0.2167,1.0333,7.4N,162.8E,77,197,115,3.14
9710,2090 March 31,2090,03:38:08,180,1116,150,P,-1.1028,0.7843,72.1S,156.3W,0,284,,
9711,2090 September 23,2090,16:56:36,181,1122,155,T,0.9157,1.0562,60.7N,40.5W,23,218,463,3.36
9712,2091 February 18,2091,09:54:40,182,1127,122,P,1.1779,0.6558,71.2N,17.8W,0,128,,
9713,2091 August 15,2091,00:34:43,183,1133,127,T,-0.949,1.0216,55.6S,150.5E,18,23,236,1.38
9714,2092 February 7,2092,15:10:20,184,1139,132,A,0.4322,0.984,9.9N,48.7W,64,168,62,1.48
9715,2092 August 3,2092,09:59:33,185,1145,137,A,-0.2044,0.9794,5.6N,30.3E,78,10,75,2.31
9716,2093 January 27,2093,03:22:16,186,1151,142,T,-0.2737,1.034,34.1S,136.4E,74,350,119,2.58
9717,2093 July 23,2093,12:32:04,187,1157,147,A,0.5717,0.9463,54.6N,1.3E,55,191,241,5.11
9718,2094 January 16,2094,18:59:03,189,1163,152,T,-0.9333,1.0342,84.8S,10.6W,21,267,329,1.51
9719,2094 June 13,2094,00:22:11,190,1168,119,P,-1.4613,0.1618,65.3S,163.6W,0,341,,
9720,2094 July 12,2094,13:24:35,190,1169,157,P,1.315,0.4224,68.0N,152.8E,0,352,,
9721,2094 December 7,2094,20:05:56,191,1174,124,P,1.1547,0.7046,64.7N,95.0W,0,205,,
9722,2095 June 2,2095,10:07:40,192,1180,129,T,-0.6396,1.0332,16.7S,37.2E,50,347,145,3.18
9723,2095 November 27,2095,01:02:57,193,1186,134,A,0.4903,0.933,7.2N,169.8E,61,195,285,8.47
9724,2096 May 22,2096,01:37:14,194,1192,139,T,0.1196,1.0737,27.3N,153.4E,83,162,241,6.07
9725,2096 November 15,2096,00:36:15,195,1198,144,A,-0.2018,0.9237,29.7S,163.3E,78,22,294,8.53
9726,2097 May 11,2097,18:34:31,196,1204,149,T,0.8516,1.0538,67.4N,149.5W,31,121,339,3.1
9727,2097 November 4,2097,02:01:25,197,1210,154,A,-0.8926,0.9494,65.8S,86.8E,26,68,411,3.36
9728,2098 April 1,2098,20:02:31,198,1215,121,P,-1.1005,0.7984,61.0S,38.1W,0,280,,
9729,2098 September 25,2098,00:31:16,199,1221,126,P,1.1184,0.7871,61.1N,101.0W,0,268,,
9730,2098 October 24,2098,10:36:11,200,1222,164,Pb,-1.5407,0.0056,61.8S,95.5W,0,116,,
9731,2099 March 21,2099,22:54:32,201,1227,131,A,-0.4016,0.9318,20.0S,149.0W,66,329,275,7.32
9732,2099 September 14,2099,16:57:53,202,1233,136,T,0.3942,1.0684,23.4N,62.8W,67,211,241,5.18
