Catalog Number,Calendar_Date,Year,Eclipse Time,Delta T (s),Lunation Number,Saros_Number,Eclipse Type,Quincena Solar Eclipse,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral_Eclipse_Duration,Partial_Eclipse_Duration,Total_Eclipse_Duration
9626,1990 February 9,1990,19:12:02,57,-123,133,T,a-,-0.4148,2.1191,1.075,14N,76E,339.6,204.3,42.3
9627,1990 August 6,1990,14:13:16,57,-117,138,P,t-,0.6374,1.7005,0.6766,16S,148E,322,175.5,-
9628,1991 January 30,1991,05:59:38,58,-111,143,N,a-,-1.0752,0.8807,-0.1106,17N,87W,237.5,-,-
9629,1991 June 27,1991,03:15:41,58,-106,110,N,#NAME?,-1.4063,0.3126,-0.7572,25S,48W,169.5,-,-
9630,1991 July 26,1991,18:08:50,58,-105,148,N,t-,1.4369,0.2542,-0.811,18S,89E,152.7,-,-
9631,1991 December 21,1991,10:34:00,58,-100,115,P,#NAME?,0.9709,1.0651,0.0876,24N,159W,251.5,64.1,-
9632,1992 June 15,1992,04:57:57,59,-94,120,P,#NAME?,-0.6288,1.7264,0.6822,24S,74W,332.2,179.8,-
9633,1992 December 9,1992,23:45:05,59,-88,125,T,#NAME?,0.3144,2.2915,1.2709,23N,2E,334.1,208.7,73.9
9634,1993 June 4,1993,13:01:26,59,-82,130,T+,p-,0.1638,2.5532,1.5617,22S,164E,336.3,217.8,95.8
9635,1993 November 29,1993,06:27:06,60,-76,135,T,p-,-0.3994,2.1633,1.0876,21N,99W,354.4,210.8,46.7
9636,1994 May 25,1994,03:31:20,60,-70,140,P,a-,0.8933,1.1941,0.2432,20S,53W,261.2,104.6,-
9637,1994 November 18,1994,06:44:54,61,-64,145,N,t-,-1.1047,0.8815,-0.2189,18N,105W,271.6,-,-
9638,1995 April 15,1995,12:19:04,61,-59,112,P,#NAME?,-0.9593,1.0836,0.1114,11S,175E,256.3,73,-
9639,1995 October 8,1995,16:05:12,61,-53,117,N,#NAME?,1.1179,0.8252,-0.2115,7N,116E,247.6,-,-
9640,1996 April 4,1996,00:10:47,62,-47,122,T-,#NAME?,-0.2534,2.4068,1.3795,6S,2W,344.7,217.1,85.8
9641,1996 September 27,1996,02:55:24,62,-41,127,T,#NAME?,0.3426,2.2188,1.2395,2N,46W,320.9,203.3,69.2
9642,1997 March 24,1997,04:40:28,62,-35,132,P,t-,0.4899,1.9994,0.9195,1S,68W,353.9,203.1,-
9643,1997 September 16,1997,18:47:42,63,-29,137,T,p-,-0.3768,2.1417,1.1909,3S,77E,308.2,196.4,61.5
9644,1998 March 13,1998,04:21:08,63,-23,142,N,t-,1.1964,0.7086,-0.3824,4N,62W,246.4,-,-
9645,1998 August 8,1998,02:25:57,63,-18,109,N,#NAME?,1.4875,0.1206,-0.8637,15S,35W,96.4,-,-
9646,1998 September 6,1998,11:11:11,63,-17,147,N,a-,-1.1057,0.8121,-0.1544,7S,168W,227.8,-,-
9647,1999 January 31,1999,16:18:35,63,-12,114,Nx,#NAME?,-1.0189,1.0027,-0.0258,16N,119E,261.7,-,-
9648,1999 July 28,1999,11:34:46,64,-6,119,P,#NAME?,0.7862,1.4342,0.3966,18S,172W,310.9,142.5,-
9649,2000 January 21,2000,04:44:34,64,0,124,T,#NAME?,-0.2957,2.306,1.3246,20N,68W,318.2,203.3,77
9650,2000 July 16,2000,13:56:39,64,6,129,T+,pp,0.0302,2.8375,1.7684,21S,153E,374.4,236,106.4
9651,2001 January 9,2001,20:21:40,64,12,134,T,p-,0.372,2.1618,1.1889,22N,57E,311,196.3,61
9652,2001 July 5,2001,14:56:23,64,18,139,P,t-,-0.7287,1.5475,0.4947,23S,137E,325.1,159.3,-
9653,2001 December 30,2001,10:30:22,64,24,144,N,a-,1.0731,0.8933,-0.1155,24N,157W,243.5,-,-
9654,2002 May 26,2002,12:04:26,64,29,111,N,#NAME?,1.1758,0.6893,-0.2888,20S,179E,216.6,-,-
9655,2002 June 24,2002,21:28:13,64,30,149,N,a-,-1.4439,0.2095,-0.7925,25S,39E,129.1,-,-
9656,2002 November 20,2002,01:47:40,64,35,116,N,#NAME?,-1.1126,0.86,-0.2264,19N,30W,264.3,-,-
9657,2003 May 16,2003,03:41:13,64,41,121,T,#NAME?,0.4123,2.0747,1.1276,19S,56W,306.5,193.9,51.4
9658,2003 November 9,2003,01:19:38,64,47,126,T,#NAME?,-0.4319,2.1139,1.0178,16N,24W,363.2,211.4,22
9659,2004 May 4,2004,20:31:17,65,53,131,T,p-,-0.3132,2.2627,1.3035,17S,51E,315.7,203.2,75.5
9660,2004 October 28,2004,03:05:11,65,59,136,T,p-,0.2846,2.3637,1.3081,13N,50W,353.8,218.7,80.5
9661,2005 April 24,2005,09:55:55,65,65,141,N,h-,-1.0885,0.865,-0.1436,14S,150W,245.6,-,-
9662,2005 October 17,2005,12:04:27,65,71,146,P,a-,0.9796,1.0585,0.0625,10N,175E,259.8,56,-
9663,2006 March 14,2006,23:48:34,65,76,113,Nx,#NAME?,1.021,1.03,-0.0604,3N,6E,287.5,-,-
9664,2006 September 7,2006,18:52:25,65,82,118,P,#NAME?,-0.9262,1.1329,0.1837,7S,77E,254.4,91.1,-
9665,2007 March 3,2007,23:21:59,65,88,123,T,#NAME?,0.3175,2.3188,1.2328,7N,13E,365.4,221.1,73.4
9666,2007 August 28,2007,10:38:27,66,94,128,T-,#NAME?,-0.2145,2.4526,1.4758,10S,159W,327.3,212.2,90
9667,2008 February 21,2008,03:27:09,66,100,133,T,a-,-0.3992,2.1451,1.1062,10N,48W,339,205.4,49.8
9668,2008 August 16,2008,21:11:12,66,106,138,P,t-,0.5646,1.8366,0.8076,13S,43E,330.5,188.1,-
9669,2009 February 9,2009,14:39:22,66,112,143,N,a-,-1.064,0.8994,-0.0882,14N,144E,238.8,-,-
9670,2009 July 7,2009,09:39:43,66,117,110,N,#NAME?,-1.4915,0.1562,-0.9133,24S,143W,121.5,-,-
9671,2009 August 6,2009,00:40:18,66,118,148,N,t-,1.3572,0.4019,-0.6661,16S,9W,189.8,-,-
9672,2009 December 31,2009,19:23:46,67,123,115,P,#NAME?,0.9765,1.0556,0.0763,24N,70E,251.1,60,-
9673,2010 June 26,2010,11:39:34,67,129,120,P,#NAME?,-0.7091,1.5773,0.5368,24S,174W,322.1,162.9,-
9674,2010 December 21,2010,08:18:04,67,135,125,T,#NAME?,0.3214,2.2807,1.2561,24N,125W,335.1,208.7,72.3
9675,2011 June 15,2011,20:13:43,67,141,130,T+,pp,0.0897,2.6868,1.6999,23S,57E,336.1,219.3,100.2
9676,2011 December 10,2011,14:32:56,68,147,135,T,p-,-0.3882,2.186,1.1061,23N,140E,356.4,212.2,51.1
9677,2012 June 4,2012,11:04:20,68,153,140,P,a-,0.8247,1.3183,0.3704,22S,166W,270,126.6,-
9678,2012 November 28,2012,14:34:07,68,159,145,N,t-,-1.0869,0.9155,-0.1873,20N,139E,276,-,-
9679,2013 April 25,2013,20:08:38,68,164,112,P,#NAME?,-1.0121,0.9866,0.0148,14S,57E,247.7,27,-
9680,2013 May 25,2013,04:11:06,68,165,150,Nb,a-,1.535,0.0157,-0.9335,19S,63W,33.6,-,-
9681,2013 October 18,2013,23:51:25,68,170,117,N,#NAME?,1.1508,0.7649,-0.2718,11N,2W,239.1,-,-
9682,2014 April 15,2014,07:46:48,69,176,122,T,#NAME?,-0.3017,2.3182,1.2907,10S,116W,343.9,214.7,77.8
9683,2014 October 8,2014,10:55:44,69,182,127,T,#NAME?,0.3826,2.1456,1.1659,6N,167W,318.1,199.5,58.8
9684,2015 April 4,2015,12:01:24,69,188,132,T,t-,0.446,2.0792,1.0008,5S,179W,357.5,209,4.7
9685,2015 September 28,2015,02:48:17,69,194,137,T,p-,-0.3296,2.2296,1.2764,2N,44W,310.7,199.9,71.9
9686,2016 March 23,2016,11:48:21,70,200,142,N,t-,1.1591,0.7747,-0.3118,0S,175W,255.4,-,-
9687,2016 September 16,2016,18:55:27,70,206,147,N,a-,-1.0548,0.908,-0.0635,3S,75E,239.3,-,-
9688,2017 February 11,2017,00:45:03,70,211,114,N,#NAME?,-1.0254,0.9884,-0.0354,13N,8W,259.2,-,-
9689,2017 August 7,2017,18:21:38,70,217,119,P,#NAME?,0.8668,1.2886,0.2464,15S,86E,300.9,115.2,-
9690,2018 January 31,2018,13:31:00,71,223,124,T,#NAME?,-0.3014,2.2941,1.3155,17N,161E,317.2,202.7,76.1
9691,2018 July 27,2018,20:22:54,71,229,129,T+,pp,0.1168,2.6792,1.6087,19S,56E,373.8,234.5,103
9692,2019 January 21,2019,05:13:27,71,235,134,T,p-,0.3684,2.1684,1.1953,20N,75W,311.5,196.8,62
9693,2019 July 16,2019,21:31:55,71,241,139,P,t-,-0.643,1.7037,0.6531,22S,39E,333.7,177.9,-
9694,2020 January 10,2020,19:11:11,72,247,144,N,a-,1.0726,0.8956,-0.116,23N,74E,244.6,-,-
9695,2020 June 5,2020,19:26:14,72,252,111,N,#NAME?,1.2406,0.5683,-0.4053,21S,69E,198.2,-,-
9696,2020 July 5,2020,04:31:12,72,253,149,N,a-,-1.3638,0.3546,-0.6436,24S,66W,165,-,-
9697,2020 November 30,2020,09:44:01,72,258,116,N,#NAME?,-1.1309,0.8285,-0.262,21N,148W,261,-,-
9698,2021 May 26,2021,11:19:53,72,264,121,T,#NAME?,0.4774,1.954,1.0095,21S,170W,302,187.4,14.5
9699,2021 November 19,2021,09:04:06,73,270,126,P,#NAME?,-0.4552,2.072,0.9742,19N,139W,361.5,208.4,-
9700,2022 May 16,2022,04:12:42,73,276,131,T-,p-,-0.2532,2.3726,1.4137,19S,64W,318.7,207.2,84.9
9701,2022 November 8,2022,11:00:22,73,282,136,T+,p-,0.257,2.4143,1.3589,17N,169W,353.9,219.8,85
9702,2023 May 5,2023,17:24:05,73,288,141,N,h-,-1.0349,0.9636,-0.0457,17S,98E,257.5,-,-
9703,2023 October 28,2023,20:15:18,74,294,146,P,a-,0.9471,1.1181,0.122,14N,52E,264.6,77.4,-
9704,2024 March 25,2024,07:13:59,74,299,113,N,#NAME?,1.0609,0.9557,-0.1325,1S,106W,279.1,-,-
9705,2024 September 18,2024,02:45:25,74,305,118,P,#NAME?,-0.9792,1.0372,0.0848,3S,42W,246.3,62.8,-
9706,2025 March 14,2025,06:59:56,75,311,123,T,#NAME?,0.3484,2.2595,1.1784,3N,102W,362.6,218.3,65.4
9707,2025 September 7,2025,18:12:58,75,317,128,T,#NAME?,-0.2752,2.344,1.3619,6S,87E,326.7,209.4,82.1
9708,2026 March 3,2026,11:34:52,75,323,133,T,a-,-0.3765,2.1838,1.1507,6N,171W,338.6,207.2,58.3
9709,2026 August 28,2026,04:14:04,75,329,138,P,t-,0.4964,1.9645,0.9299,9S,63W,337.8,198.1,-
9710,2027 February 20,2027,23:14:06,76,335,143,N,a-,-1.048,0.9266,-0.0569,10N,15E,241,-,-
9711,2027 July 18,2027,16:04:09,76,340,110,Ne,#NAME?,-1.5758,0.0014,-1.068,22S,121E,11.8,-,-
9712,2027 August 17,2027,07:14:59,76,341,148,N,t-,1.2797,0.5456,-0.5254,12S,108W,218.6,-,-
9713,2028 January 12,2028,04:14:13,76,346,115,P,#NAME?,0.9817,1.0468,0.0662,23N,61W,250.7,56,-
9714,2028 July 6,2028,18:20:57,77,352,120,P,#NAME?,-0.7903,1.4266,0.3892,23S,86E,310.6,141.5,-
9715,2028 December 31,2028,16:53:15,77,358,125,T,#NAME?,0.3258,2.2742,1.2463,23N,108E,336.2,208.8,71.3
9716,2029 June 26,2029,03:23:22,77,364,130,T+,pp,0.0124,2.8266,1.8436,23S,50W,335.1,219.5,101.9
9717,2029 December 20,2029,22:43:12,78,370,135,T,p-,-0.3811,2.2008,1.1174,23N,19E,358,213.3,53.7
9718,2030 June 15,2030,18:34:34,78,376,140,P,a-,0.7534,1.448,0.5025,23S,82E,278.2,144.4,-
9719,2030 December 9,2030,22:28:51,78,382,145,N,t-,-1.0731,0.9416,-0.1628,22N,21E,279.2,-,-
9720,2031 May 7,2031,03:52:02,78,387,112,N,#NAME?,-1.0694,0.8814,-0.0904,18S,59W,237.3,-,-
9721,2031 June 5,2031,11:45:17,78,388,150,N,a-,1.4731,0.1292,-0.8199,21S,176W,95.6,-,-
9722,2031 October 30,2031,07:46:45,79,393,117,N,#NAME?,1.1773,0.7161,-0.3204,15N,121W,231.8,-,-
9723,2032 April 25,2032,15:14:51,79,399,122,T,#NAME?,-0.3558,2.2192,1.1913,14S,131E,342.4,211.2,65.5
9724,2032 October 18,2032,19:03:40,79,405,127,T,#NAME?,0.4169,2.083,1.1028,10N,71E,315.4,195.9,47.1
9725,2033 April 14,2033,19:13:51,80,411,132,T,t-,0.3954,2.1711,1.0944,9S,72E,361.2,215,49.2
9726,2033 October 8,2033,10:56:23,80,417,137,T,p-,-0.2889,2.3057,1.3497,6N,167W,312.6,202.4,78.8
9727,2034 April 3,2034,19:06:59,80,423,142,N,t-,1.1144,0.8545,-0.2274,5S,75E,265.4,-,-
9728,2034 September 28,2034,02:47:37,81,429,147,P,a-,-1.011,0.9911,0.0144,1N,44W,248.7,26.7,-
9729,2035 February 22,2035,09:06:12,81,434,114,N,#NAME?,-1.0367,0.9652,-0.0535,9N,133W,255.7,-,-
9730,2035 August 19,2035,01:12:15,81,440,119,P,#NAME?,0.9433,1.1507,0.1037,12S,17W,289.8,76.5,-
9731,2036 February 11,2036,22:13:06,82,446,124,T,#NAME?,-0.311,2.2751,1.2995,14N,31E,316.1,201.9,74.5
9732,2036 August 7,2036,02:52:32,82,452,129,T+,pp,0.2004,2.5266,1.4544,16S,41W,372.1,231.3,95.3
9733,2037 January 31,2037,14:01:38,82,458,134,T,p-,0.3619,2.1803,1.2074,18N,153E,312.1,197.5,63.7
9734,2037 July 27,2037,04:09:53,83,464,139,P,t-,-0.5582,1.8584,0.8095,20S,60W,340.8,192.4,-
9735,2038 January 21,2038,03:49:52,83,470,144,N,a-,1.071,0.8996,-0.114,21N,54W,245.8,-,-
9736,2038 June 17,2038,02:45:02,83,475,111,N,#NAME?,1.3082,0.4422,-0.5275,22S,41W,176.3,-,-
9737,2038 July 16,2038,11:35:56,84,476,149,N,a-,-1.2837,0.4999,-0.4952,23S,172W,192.4,-,-
9738,2038 December 11,2038,17:45:00,84,481,116,N,#NAME?,-1.1448,0.8046,-0.2892,22N,93E,258.5,-,-
9739,2039 June 6,2039,18:54:25,84,487,121,P,#NAME?,0.546,1.8272,0.8846,22S,77E,296.7,179.3,-
9740,2039 November 30,2039,16:56:28,85,493,126,P,#NAME?,-0.4721,2.0418,0.9426,21N,104E,360.1,206,-
9741,2040 May 26,2040,11:46:22,85,499,131,T-,p-,-0.1872,2.4938,1.5348,21S,177W,321.4,210.7,92.2
9742,2040 November 18,2040,19:04:40,85,505,136,T+,p-,0.2361,2.4525,1.3974,20N,70E,353.6,220.4,87.8
9743,2041 May 16,2041,00:43:03,86,511,141,P,t-,-0.9746,1.0747,0.0645,20S,12W,269.7,58.5,-
9744,2041 November 8,2041,04:35:05,86,517,146,P,a-,0.9212,1.1656,0.1696,18N,73W,268,90.3,-
9745,2042 April 5,2042,14:30:11,86,522,113,N,#NAME?,1.108,0.868,-0.2176,5S,144E,268.4,-,-
9746,2042 September 29,2042,10:45:47,87,528,118,N,#NAME?,-1.0261,0.9528,-0.0031,2N,163W,238.5,-,-
9747,2043 March 25,2043,14:32:04,87,534,123,T,#NAME?,0.3849,2.19,1.1142,2S,144E,359.3,214.6,53.4
9748,2043 September 19,2043,01:51:50,88,540,128,T,#NAME?,-0.3316,2.2433,1.2556,2S,29W,325.8,206,71.7
9749,2044 March 13,2044,19:38:33,88,546,133,T,a-,-0.3496,2.2303,1.2031,2N,68E,338.4,209.1,66.4
9750,2044 September 7,2044,11:20:44,88,552,138,T,t-,0.4318,2.086,1.0456,5S,171W,344,206.2,33.9
9751,2045 March 3,2045,07:43:26,89,558,143,N,a-,-1.0274,0.9623,-0.0168,6N,113W,243.9,-,-
9752,2045 August 27,2045,13:54:50,89,564,148,N,t-,1.206,0.6825,-0.3919,9S,152E,241.7,-,-
9753,2046 January 22,2046,13:02:37,90,569,115,P,#NAME?,0.9885,1.0347,0.0532,21N,168E,250,50.4,-
9754,2046 July 18,2046,01:06:05,90,575,120,P,#NAME?,-0.8691,1.2807,0.2461,22S,14W,298.1,114.6,-
9755,2047 January 12,2047,01:26:14,90,581,125,T,#NAME?,0.3317,2.2649,1.2341,22N,19W,337.2,208.9,70
9756,2047 July 7,2047,10:35:45,91,587,130,T-,pp,-0.0636,2.731,1.7513,23S,157W,333.4,218.5,100.8
9757,2048 January 1,2048,06:53:55,91,593,135,T,p-,-0.3745,2.2141,1.128,23N,102W,359.4,214.3,55.9
9758,2048 June 26,2048,02:02:28,92,599,140,P,a-,0.6796,1.5825,0.6388,23S,30W,285.7,159.2,-
9759,2048 December 20,2048,06:27:48,92,605,145,N,t-,-1.0624,0.9617,-0.1436,22N,97W,281.6,-,-
9760,2049 May 17,2049,11:26:39,92,610,112,N,#NAME?,-1.1337,0.7638,-0.2085,21S,172W,224.3,-,-
9761,2049 June 15,2049,19:14:12,92,611,150,N,a-,1.4068,0.2511,-0.6985,22S,72E,132,-,-
9762,2049 November 9,2049,15:52:11,93,616,117,N,#NAME?,1.1964,0.6808,-0.3553,18N,118E,226.1,-,-
9763,2050 May 6,2050,22:32:02,94,622,122,T,#NAME?,-0.4181,2.1052,1.0767,17S,21E,340,206,43.2
9764,2050 October 30,2050,03:21:47,95,628,127,T,#NAME?,0.4435,2.0345,1.0538,14N,54W,313.1,192.9,34.5
9765,2051 April 26,2051,02:16:28,96,634,132,T,p-,0.3371,2.2773,1.2022,13S,34W,364.8,220.8,69.6
9766,2051 October 19,2051,19:11:50,97,640,137,T-,p-,-0.2542,2.3708,1.4118,10N,69E,314.2,204.3,83.6
9767,2052 April 14,2052,02:18:06,98,646,142,N,t-,1.0628,0.9466,-0.1305,9S,34W,276,-,-
9768,2052 October 8,2052,10:45:58,99,652,147,P,a-,-0.9726,1.0642,0.0821,5N,164W,256.6,63.3,-
9769,2053 March 4,2053,17:22:10,99,657,114,N,#NAME?,-1.053,0.9323,-0.0808,5N,102E,251.1,-,-
9770,2053 August 29,2053,08:05:50,100,663,119,Nx,#NAME?,1.0164,1.0191,-0.033,8S,121W,277.8,-,-
9771,2054 February 22,2054,06:51:27,101,669,124,T,#NAME?,-0.3242,2.2491,1.2769,10N,99W,314.7,200.9,72.1
9772,2054 August 18,2054,09:26:30,102,675,129,T,pp,0.2806,2.3805,1.3062,13S,140W,369.5,226.5,82.9
9773,2055 February 11,2055,22:46:17,103,681,134,T,p-,0.3526,2.197,1.2246,14N,22E,312.9,198.4,66
9774,2055 August 7,2055,10:53:18,104,687,139,P,t-,-0.4769,2.0069,0.9594,17S,161W,346.3,203.4,-
9775,2056 February 1,2056,12:26:06,105,693,144,N,a-,1.0682,0.9056,-0.1096,18N,177E,247.2,-,-
9776,2056 June 27,2056,10:03:09,106,698,111,N,#NAME?,1.3769,0.3143,-0.6519,22S,149W,149.9,-,-
9777,2056 July 26,2056,18:43:24,106,699,149,N,a-,-1.2048,0.6435,-0.3489,20S,81E,214.4,-,-
9778,2056 December 22,2056,01:48:56,107,704,116,N,#NAME?,-1.1559,0.7857,-0.3109,22N,27W,256.4,-,-
9779,2057 June 17,2057,02:26:20,108,710,121,P,#NAME?,0.6167,1.6967,0.7555,23S,36W,290.6,169.3,-
9780,2057 December 11,2057,00:53:38,109,716,126,P,#NAME?,-0.4853,2.0178,0.9181,23N,15W,358.8,204,-
9781,2058 June 6,2058,19:15:48,110,722,131,T-,pp,-0.1181,2.621,1.6611,23S,71E,323.6,213.4,97.3
9782,2058 November 30,2058,03:16:18,111,728,136,T+,p-,0.2208,2.4802,1.426,22N,52W,353,220.7,89.7
9783,2059 May 27,2059,07:55:35,112,734,141,P,t-,-0.9097,1.1946,0.1829,22S,119W,281.7,97.2,-
9784,2059 November 19,2059,13:01:36,113,740,146,P,a-,0.9004,1.2037,0.2079,20N,161E,270.5,99.2,-
9785,2060 April 15,2060,21:37:04,114,745,113,N,#NAME?,1.1621,0.7674,-0.3156,9S,37E,255,-,-
9786,2060 October 9,2060,18:53:32,115,751,118,N,#NAME?,-1.067,0.8796,-0.0799,6N,74E,231.3,-,-
9787,2060 November 8,2060,04:04:15,115,752,156,N,a-,1.5332,0.0266,-0.9375,18N,65W,43.6,-,-
9788,2061 April 4,2061,21:54:05,116,757,123,T,#NAME?,0.43,2.1044,1.0341,6S,33E,355,209.6,29.9
9789,2061 September 29,2061,09:38:13,117,763,128,T,#NAME?,-0.381,2.1556,1.1621,2N,146W,324.8,202.4,59
9790,2062 March 25,2062,03:33:50,118,769,133,T,p-,-0.315,2.2905,1.2695,2S,52W,338.3,211.3,74.7
9791,2062 September 18,2062,18:34:02,119,775,138,T,p-,0.3735,2.1959,1.1496,1S,80E,349.3,212.4,59.5
9792,2063 March 14,2063,16:05:49,120,781,143,P,a-,-1.0007,1.0088,0.0342,1N,121E,247.8,40.6,-
9793,2063 September 7,2063,20:41:12,121,787,148,N,t-,1.1374,0.8101,-0.2678,5S,49E,260.4,-,-
9794,2064 February 2,2064,21:48:57,122,792,115,P,#NAME?,0.9969,1.0197,0.0377,18N,37E,249,42.5,-
9795,2064 July 28,2064,07:52:48,123,798,120,P,#NAME?,-0.9473,1.1361,0.1038,20S,116W,284.3,75.7,-
9796,2065 January 22,2065,09:58:58,124,804,125,T,#NAME?,0.3371,2.2561,1.2231,20N,146W,338.2,209,68.8
9797,2065 July 17,2065,17:48:40,125,810,130,T-,pp,-0.1402,2.589,1.6121,21S,95E,331,216.3,97
9798,2066 January 11,2066,15:04:47,126,816,135,T,p-,-0.3687,2.2259,1.1378,21N,136E,360.7,215.2,57.9
9799,2066 July 7,2066,09:30:29,127,822,140,P,a-,0.6055,1.7179,0.7753,22S,141W,292.3,171.3,-
9800,2066 December 31,2066,14:30:10,128,828,145,N,t-,-1.0539,0.9773,-0.1281,22N,144E,283.3,-,-
9801,2067 May 28,2067,18:56:08,129,833,112,N,#NAME?,-1.2012,0.6403,-0.3329,23S,76E,208.5,-,-
9802,2067 June 27,2067,02:41:06,129,834,150,N,a-,1.3394,0.3754,-0.5753,22S,39W,159.8,-,-
9803,2067 November 21,2067,00:04:42,130,839,117,N,#NAME?,1.2106,0.6544,-0.3811,21N,4W,221.5,-,-
9804,2068 May 17,2068,05:42:17,131,845,122,P,#NAME?,-0.4851,1.9826,0.9532,20S,86W,336.6,199,-
9805,2068 November 9,2068,11:47:00,132,851,127,T,#NAME?,0.4645,1.9962,1.0149,18N,180E,311.2,190.2,18.4
9806,2069 May 6,2069,09:09:57,133,857,132,T+,pp,0.2717,2.3965,1.3229,17S,138W,368.1,226.2,84.3
9807,2069 October 30,2069,03:35:06,134,863,137,T-,p-,-0.2263,2.4235,1.4616,14N,57W,315.4,205.6,86.8
9808,2070 April 25,2070,09:21:24,135,869,142,Nx,t-,1.0044,1.0515,-0.0209,12S,140W,286.9,-,-
9809,2070 October 19,2070,18:51:12,137,875,147,P,a-,-0.9406,1.1258,0.1383,9N,74E,263.2,81.7,-
9810,2071 March 16,2071,01:31:09,137,880,114,N,#NAME?,-1.0756,0.8879,-0.1194,1N,20W,245.1,-,-
9811,2071 September 9,2071,15:05:41,138,886,119,N,#NAME?,1.0834,0.8989,-0.1586,4S,133E,265.2,-,-
9812,2072 March 4,2072,15:23:07,140,892,124,T,#NAME?,-0.343,2.2127,1.2441,6N,133E,313.2,199.4,68.5
9813,2072 August 28,2072,16:05:42,141,898,129,T,#NAME?,0.3563,2.2428,1.1662,9S,119E,366,220.3,64.2
9814,2073 February 22,2073,07:24:53,142,904,134,T,p-,0.3388,2.2218,1.2503,10N,107W,313.8,199.7,69.2
9815,2073 August 17,2073,17:42:41,143,910,139,T,t-,-0.3998,2.1479,1.1013,13S,96E,350.5,211.6,50.1
9816,2074 February 11,2074,20:55:58,144,916,144,N,a-,1.0611,0.9191,-0.0972,15N,50E,249.5,-,-
9817,2074 July 8,2074,17:21:38,145,921,111,N,#NAME?,1.4456,0.187,-0.7765,21S,101E,116.6,-,-
9818,2074 August 7,2074,01:56:03,145,922,149,N,a-,-1.1291,0.7813,-0.2091,17S,27W,232.2,-,-
9819,2075 January 2,2075,09:55:03,146,927,116,N,#NAME?,-1.1642,0.7714,-0.3271,22N,147W,254.9,-,-
9820,2075 June 28,2075,09:55:35,147,933,121,P,#NAME?,0.6897,1.5624,0.622,23S,147W,283.4,157,-
9821,2075 December 22,2075,08:55:55,148,939,126,P,#NAME?,-0.4945,2.0008,0.9013,23N,134W,357.6,202.5,-
9822,2076 June 17,2076,02:39:47,149,945,131,T-,pp,-0.0452,2.7554,1.7943,23S,39W,325.3,215.1,100.2
9823,2076 December 10,2076,11:34:51,150,951,136,T+,p-,0.2102,2.499,1.446,23N,175W,352.2,220.6,90.8
9824,2077 June 6,2077,14:59:52,151,957,141,P,t-,-0.8387,1.3257,0.3123,24S,135E,293.6,125,-
9825,2077 November 29,2077,21:35:53,152,963,146,P,a-,0.8854,1.2309,0.2356,23N,34E,272,105,-
9826,2078 April 27,2078,04:35:44,153,968,113,N,#NAME?,1.2222,0.6558,-0.4246,13S,68W,238.2,-,-
9827,2078 October 21,2078,03:08:03,154,974,118,N,#NAME?,-1.1021,0.8171,-0.1462,10N,50W,224.8,-,-
9828,2078 November 19,2078,12:40:04,154,975,156,N,a-,1.5147,0.0615,-0.9047,21N,166E,66,-,-
9829,2079 April 16,2079,05:10:45,155,980,123,P,#NAME?,0.4799,2.01,0.9451,10S,77W,350.1,203.4,-
9830,2079 October 10,2079,17:30:30,156,986,128,T,#NAME?,-0.4246,2.0786,1.0791,7N,95E,323.8,198.7,42.4
9831,2080 April 4,2080,11:23:38,157,992,133,T,p-,-0.2751,2.3607,1.346,6S,170W,338.3,213.6,82.1
9832,2080 September 29,2080,01:52:42,158,998,138,T,p-,0.3203,2.2967,1.2443,3N,30W,353.7,217.4,73.8
9833,2081 March 25,2081,00:22:01,159,1004,143,P,a-,-0.9687,1.0652,0.0953,3S,4W,252.4,67.1,-
9834,2081 September 18,2081,03:35:26,161,1010,148,N,t-,1.0747,0.927,-0.1545,1S,55W,275.7,-,-
9835,2082 February 13,2082,06:29:19,161,1015,115,P,#NAME?,1.0101,0.9955,0.0134,14N,93W,247.2,25.5,-
9836,2082 August 8,2082,14:46:42,163,1021,120,Nx,#NAME?,-1.0203,1.0011,-0.0294,17S,141E,269.8,-,-
9837,2083 February 2,2083,18:26:46,164,1027,125,T,#NAME?,0.3463,2.24,1.2052,17N,88E,338.9,208.8,66.5
9838,2083 July 29,2083,01:05:34,165,1033,130,T-,pp,-0.2143,2.452,1.4773,19S,14W,328,212.9,90.4
9839,2084 January 22,2084,23:13:00,166,1039,135,T,p-,-0.361,2.2407,1.1513,19N,15E,362,216.3,60.5
9840,2084 July 17,2084,16:58:51,167,1045,140,P,a-,0.5312,1.854,0.9119,20S,107E,298.1,181.4,-
9841,2085 January 10,2085,22:32:29,168,1051,145,N,t-,-1.0453,0.9927,-0.1119,21N,24E,284.9,-,-
9842,2085 June 8,2085,02:17:36,169,1056,112,N,#NAME?,-1.2745,0.5065,-0.4682,24S,34W,188.5,-,-
9843,2085 July 7,2085,10:04:40,169,1057,150,N,a-,1.2694,0.5047,-0.4478,21S,149W,183.5,-,-
9844,2085 December 1,2085,08:25:35,170,1062,117,N,#NAME?,1.2189,0.6387,-0.3957,23N,128W,218.5,-,-
9845,2086 May 28,2086,12:43:47,171,1068,122,P,#NAME?,-0.5585,1.8486,0.818,22S,169E,332,189.4,-
