Catalog Number,Calendar_Date,Year,Eclipse Time,Delta T (s),Lunation Number,Saros_Number,Eclipse Type,Quincena Solar Eclipse,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral_Eclipse_Duration,Partial_Eclipse_Duration,Total_Eclipse_Duration
9467,1920 October 27,1920,14:11:38,22,-980,125,T+,#NAME?,0.2502,2.3992,1.3987,13N,143E,330.9,211.1,85
9468,1921 April 22,1921,07:44:39,22,-974,130,T,a-,0.4269,2.0816,1.0678,12S,116W,331.9,202,40.1
9469,1921 October 16,1921,22:53:59,22,-968,135,P,t-,-0.4902,1.9858,0.9317,9N,13E,342.1,199.1,-
9470,1922 March 13,1922,11:28:48,23,-963,102,N,#NAME?,-1.4752,0.132,-0.8304,2N,170W,96.3,-,-
9471,1922 April 11,1922,20:32:12,23,-962,140,N,a-,1.1228,0.7812,-0.1863,7S,53E,223.2,-,-
9472,1922 October 6,1922,00:43:50,23,-956,145,N,t-,-1.2348,0.6358,-0.4508,4N,13W,235.2,-,-
9473,1923 March 3,1923,03:32:09,23,-951,112,P,#NAME?,-0.8175,1.3453,0.3701,6N,50W,275.2,127.1,-
9474,1923 August 26,1923,10:39:52,23,-945,117,P,#NAME?,0.9133,1.2013,0.1634,10S,160W,290.8,94.2,-
9475,1924 February 20,1924,16:08:55,24,-939,122,T-,#NAME?,-0.1338,2.6256,1.5995,11N,121E,343.6,219.7,97.1
9476,1924 August 14,1924,20:20:30,24,-933,127,T+,pp,0.1175,2.6326,1.6519,14S,56E,332,216.9,98.2
9477,1925 February 8,1925,21:42:22,24,-927,132,P,t-,0.5921,1.8134,0.7304,15N,38E,342.9,185.7,-
9478,1925 August 4,1925,11:52:57,24,-921,137,P,a-,-0.6208,1.6909,0.7463,18S,177W,291.2,168.9,-
9479,1926 January 28,1926,21:20:24,24,-915,142,N,t-,1.2836,0.5551,-0.5488,19N,43E,222.6,-,-
9480,1926 June 25,1926,21:25:07,24,-910,109,N,#NAME?,1.1814,0.6749,-0.2948,22S,40E,213.1,-,-
9481,1926 July 25,1926,05:00:12,24,-909,147,N,a-,-1.3511,0.3542,-0.597,21S,73W,155.5,-,-
9482,1926 December 19,1926,06:20:07,24,-904,114,Nx,#NAME?,-1.0101,1.0257,-0.0163,22N,96W,268,-,-
9483,1927 June 15,1927,08:24:41,24,-898,119,T,#NAME?,0.4543,2.0365,1.0123,23S,126W,338.1,202.8,17.7
9484,1927 December 8,1927,17:35:10,24,-892,124,T,#NAME?,-0.2796,2.3389,1.351,22N,94E,321.8,205.6,79.8
9485,1928 June 3,1928,12:09:57,24,-886,129,T,tp,-0.3175,2.3092,1.2421,23S,177E,365.2,223,75.3
9486,1928 November 27,1928,09:01:47,24,-880,134,T,p-,0.3952,2.1166,1.1486,22N,139W,308.7,194.2,54.8
9487,1929 May 23,1929,12:37:45,24,-874,139,N,t-,-1.065,0.9367,-0.1287,21S,169E,273.7,-,-
9488,1929 November 17,1929,00:03:13,24,-868,144,N,a-,1.0947,0.846,-0.1474,20N,5W,235,-,-
9489,1930 April 13,1930,05:58:54,24,-863,111,P,#NAME?,0.9545,1.1066,0.1064,8S,89W,267.3,73.4,-
9490,1930 October 7,1930,19:07:10,24,-857,116,P,#NAME?,-0.9811,1.0906,0.0252,5N,71E,286.6,38.3,-
9491,1931 April 2,1931,20:07:55,24,-851,121,T+,#NAME?,0.2043,2.4637,1.5021,5S,59E,317.9,207.8,89.6
9492,1931 September 26,1931,19:48:29,24,-845,126,T-,pp,-0.2698,2.4058,1.3208,1N,61E,371.2,226.9,84.2
9493,1932 March 22,1932,12:32:39,24,-839,131,P,a-,-0.4956,1.9303,0.9666,1S,173E,303.8,185.3,-
9494,1932 September 14,1932,21:01:00,24,-833,136,P,t-,0.4664,2.0296,0.9752,3S,43E,347.2,204,-
9495,1933 February 10,1933,13:17:33,24,-828,103,N,#NAME?,1.56,0.0182,-1.027,16N,165E,39.6,-,-
9496,1933 March 12,1933,02:33:03,24,-827,141,N,a-,-1.2369,0.5923,-0.4154,2N,36W,206.3,-,-
9497,1933 August 5,1933,19:46:05,24,-822,108,N,#NAME?,-1.4216,0.2322,-0.7338,18S,66E,129.5,-,-
9498,1933 September 4,1933,04:52:20,24,-821,146,N,a-,1.1776,0.6955,-0.3013,6S,74W,221.4,-,-
9499,1934 January 30,1934,16:42:42,24,-816,113,P,#NAME?,0.9258,1.2073,0.112,18N,113E,304.3,80.9,-
9500,1934 July 26,1934,12:15:38,24,-810,118,P,#NAME?,-0.6681,1.6025,0.6612,20S,178E,285.7,160.8,-
9501,1935 January 19,1935,15:47:35,24,-804,123,T+,pp,0.2498,2.4502,1.3499,21N,126E,372.1,226.7,86.3
9502,1935 July 16,1935,05:00:05,24,-798,128,T+,pp,0.0672,2.7146,1.7542,21S,73W,325,214.8,99.6
9503,1936 January 8,1936,18:09:58,24,-792,133,T,a-,-0.4428,2.074,1.0173,22N,89E,342.1,202.5,20.8
9504,1936 July 4,1936,17:25:23,24,-786,138,P,t-,0.8642,1.2778,0.2668,22S,100E,289.5,116.3,-
9505,1936 December 28,1936,03:49:09,24,-780,143,N,a-,-1.097,0.8451,-0.155,22N,57W,235.5,-,-
9506,1937 May 25,1937,07:51:34,24,-775,110,N,#NAME?,-1.1581,0.7697,-0.3033,22S,119W,254.7,-,-
9507,1937 November 18,1937,08:19:26,24,-769,115,P,#NAME?,0.9421,1.1141,0.1443,20N,129W,254.5,81.3,-
9508,1938 May 14,1938,08:44:00,24,-763,120,T,#NAME?,-0.3994,2.154,1.0966,19S,132W,354.9,213.1,49.4
9509,1938 November 7,1938,22:26:42,24,-757,125,T,#NAME?,0.2738,2.3585,1.3525,17N,19E,331.5,210.2,81.4
9510,1939 May 3,1939,15:11:43,24,-751,130,T,a-,0.3693,2.1842,1.1765,15S,131E,333.5,207.1,62.4
9511,1939 October 28,1939,06:36:43,24,-745,135,P,t-,-0.4581,2.0477,0.9877,12N,103W,346.1,203.4,-
9512,1940 March 23,1940,19:48:19,24,-740,102,N,#NAME?,-1.5033,0.0788,-0.8803,3S,64E,74.6,-,-
9513,1940 April 22,1940,04:26:25,25,-739,140,N,a-,1.0741,0.8683,-0.0945,11S,67W,232.5,-,-
9514,1940 October 16,1940,08:01:17,25,-733,145,N,t-,-1.1924,0.7156,-0.3749,8N,124W,248,-,-
9515,1941 March 13,1941,11:55:47,25,-728,112,P,#NAME?,-0.8436,1.297,0.3226,2N,177W,272.2,119.8,-
9516,1941 September 5,1941,17:47:15,25,-722,117,P,#NAME?,0.9746,1.0884,0.0511,6S,93E,279.3,53.4,-
9517,1942 March 3,1942,00:21:54,25,-716,122,T-,#NAME?,-0.1545,2.5879,1.5612,7N,2W,344.3,219.7,95.9
9518,1942 August 26,1942,03:48:25,26,-710,127,T+,pp,0.1818,2.5142,1.5344,10S,57W,329.5,214.2,93.4
